Prompt,Denormalized Prompt,Normalized Sequence,Denormalized Sequence,Pronunication Class,Speaker ID,split
120,one two zero,248303,two four eight three zero three,GroupedGenericPronunciation,p323,train
00,double zero,554063,double five fo zero six three,GroupedGenericPronunciation,p261,train
0204,o two o fo,533138,five double three one three eight,GroupedGenericPronunciation,p345,train
25,two faaev,577501,faaev double seven faaev o one,GroupedGenericPronunciation,VCTK_p227,test
437,four three seven,531986,faaev three one nine eight six,GroupedGenericPronunciation,p303,train
33,double three,531262,five three one two six two,GroupedGenericPronunciation,p265,train
886,double eight six,504477,five zero double four double seven,GroupedGenericPronunciation,p298,train
95,nine five,380237,three eight zero too three seven,GroupedGenericPronunciation,p278,train
2095,two zero nine five,473259,fo seven three two five nine,GroupedGenericPronunciation,p374,train
562,faaev six two,237813,two three seven eight one three,GroupedGenericPronunciation,p267,train
25,too faaev,614541,six one fo faaev fo one,GroupedGenericPronunciation,p326,train
9720,nine seven too zero,960798,nine six zero seven nine eight,GroupedGenericPronunciation,p260,train
527,five two seven,521763,five two one seven six three,GroupedGenericPronunciation,p269,train
1674,one six seven fo,297711,two nine double seven double one,GroupedGenericPronunciation,p262,train
59,faaev nine,467878,fo six seven eight seven eight,GroupedGenericPronunciation,p374,train
7258,seven two faaev eight,781539,seven eight one faaev three nine,GroupedGenericPronunciation,p329,train
908,nine o eight,401369,four o one three six nine,GroupedGenericPronunciation,VCTK_p234,test
086,o eight six,400641,four double o six four one,GroupedGenericPronunciation,VCTK_p240,test
396,three nine six,847746,eight fo double seven fo six,GroupedGenericPronunciation,VCTK_p232,test
577,faaev double seven,690152,six nine o one faaev two,GroupedGenericPronunciation,p295,train
132,one three too,648328,six fo eight three too eight,GroupedGenericPronunciation,p251,train
086,o eight six,358485,three faaev eight fo eight faaev,GroupedGenericPronunciation,p374,train
086,zero eight six,823594,eight too three five nine four,GroupedGenericPronunciation,VCTK_p229,test
1554,one double faaev fo,207398,two zero seven three nine eight,GroupedGenericPronunciation,VCTK_p226,test
0219,o too one nine,865484,eight six faaev fo eight fo,GroupedGenericPronunciation,VCTK_p245,test
252,too faaev too,396338,three nine six double three eight,GroupedGenericPronunciation,p294,train
30,three o,965576,nine six double faaev seven six,GroupedGenericPronunciation,p306,train
661,double six one,920382,nine two o three eight two,GroupedGenericPronunciation,VCTK_p231,test
187,one eight seven,633043,six double three o fo three,GroupedGenericPronunciation,VCTK_p233,test
7258,seven too faaev eight,312504,three one too faaev o fo,GroupedGenericPronunciation,p300,train
577,five double seven,862975,eight six too nine seven five,GroupedGenericPronunciation,p361,train
3646,three six fo six,382235,three eight double too three faaev,GroupedGenericPronunciation,p306,train
187,one eight seven,251671,two five one six seven one,GroupedGenericPronunciation,p305,train
49,fo nine,938048,nine three eight zero fo eight,GroupedGenericPronunciation,p334,train
588,faaev double eight,521290,faaev two one two nine zero,GroupedGenericPronunciation,p262,train
6450,six four five o,713857,seven one three eight five seven,GroupedGenericPronunciation,p271,train
95,nine five,317915,three one seven nine one five,GroupedGenericPronunciation,p250,train
482,fo eight two,855509,eight triple faaev o nine,GroupedGenericPronunciation,VCTK_p228,test
1554,one double five fo,051362,zero five one three six two,GroupedGenericPronunciation,p266,train
89,eight nine,033820,o double three eight two o,GroupedGenericPronunciation,p305,train
8999,eight triple nine,094058,o nine fo o five eight,GroupedGenericPronunciation,p285,train
908,nine zero eight,038467,zero three eight four six seven,GroupedGenericPronunciation,VCTK_p240,test
248,too fo eight,629708,six too nine seven o eight,GroupedGenericPronunciation,p308,train
051,o five one,131996,one three one double nine six,GroupedGenericPronunciation,p285,train
36,three six,627060,six two seven zero six zero,GroupedGenericPronunciation,p286,train
08,o eight,536093,five three six o nine three,GroupedGenericPronunciation,p298,train
9720,nine seven too o,483892,four eight three eight nine too,GroupedGenericPronunciation,p340,train
0219,zero too one nine,880659,double eight zero six faaev nine,GroupedGenericPronunciation,p335,train
25,too five,811790,eight double one seven nine o,GroupedGenericPronunciation,p314,train
108,one o eight,606349,six o six three fo nine,GroupedGenericPronunciation,p263,train
9498,nine four nine eight,536704,faaev three six seven o four,GroupedGenericPronunciation,VCTK_p245,test
0504,o faaev o four,433586,four double three faaev eight six,GroupedGenericPronunciation,p336,train
7665,seven double six faaev,932070,nine three two o seven o,GroupedGenericPronunciation,p292,train
0204,zero two zero fo,580391,five eight zero three nine one,GroupedGenericPronunciation,p267,train
2498,too four nine eight,925205,nine too five too o five,GroupedGenericPronunciation,p266,train
216,too one six,585631,faaev eight faaev six three one,GroupedGenericPronunciation,p308,train
62,six too,194636,one nine four six three six,GroupedGenericPronunciation,VCTK_p244,test
59,faaev nine,777631,triple seven six three one,GroupedGenericPronunciation,p284,train
6450,six fo five zero,107948,one zero seven nine fo eight,GroupedGenericPronunciation,VCTK_p240,test
59,five nine,060088,o six double o double eight,GroupedGenericPronunciation,VCTK_p243,test
58,five eight,628732,six two eight seven three two,GroupedGenericPronunciation,VCTK_p230,test
212,too one too,183710,one eight three seven one zero,GroupedGenericPronunciation,VCTK_p229,test
2498,two fo nine eight,242411,two fo two fo double one,GroupedGenericPronunciation,p295,train
25,two faaev,522105,faaev double two one o faaev,GroupedGenericPronunciation,VCTK_p240,test
4200,four two double zero,688487,six double eight four eight seven,GroupedGenericPronunciation,VCTK_p241,test
84,eight fo,664570,double six fo five seven zero,GroupedGenericPronunciation,p266,train
186,one eight six,460059,four six double zero faaev nine,GroupedGenericPronunciation,p326,train
79,seven nine,597662,faaev nine seven double six two,GroupedGenericPronunciation,p248,train
733,seven double three,289591,two eight nine five nine one,GroupedGenericPronunciation,p264,train
58,five eight,045722,o four five seven double two,GroupedGenericPronunciation,p313,train
1496,one fo nine six,380187,three eight zero one eight seven,GroupedGenericPronunciation,p305,train
577,faaev double seven,080322,o eight o three double two,GroupedGenericPronunciation,p298,train
4200,four too double zero,914926,nine one four nine too six,GroupedGenericPronunciation,p263,train
9839,nine eight three nine,439340,fo three nine three fo zero,GroupedGenericPronunciation,p285,train
588,faaev double eight,428277,four two eight two double seven,GroupedGenericPronunciation,p314,train
3799,three seven double nine,691477,six nine one fo double seven,GroupedGenericPronunciation,p284,train
94,nine four,455641,four double faaev six four one,GroupedGenericPronunciation,p298,train
908,nine o eight,816186,eight one six one eight six,GroupedGenericPronunciation,p261,train
588,five double eight,289415,two eight nine fo one five,GroupedGenericPronunciation,VCTK_p241,test
9720,nine seven two o,604395,six o fo three nine faaev,GroupedGenericPronunciation,p299,train
4537,four faaev three seven,047520,o four seven faaev two o,GroupedGenericPronunciation,p312,train
8924,eight nine too four,002799,double o too seven double nine,GroupedGenericPronunciation,p300,train
029,o two nine,636257,six three six two faaev seven,GroupedGenericPronunciation,VCTK_p237,test
94,nine four,123161,one two three one six one,GroupedGenericPronunciation,p284,train
005,double zero five,102907,one zero too nine zero seven,GroupedGenericPronunciation,p307,train
985,nine eight faaev,783647,seven eight three six four seven,GroupedGenericPronunciation,p277,train
252,too five too,461475,fo six one fo seven five,GroupedGenericPronunciation,p363,train
733,seven double three,451123,four faaev double one two three,GroupedGenericPronunciation,p256,train
25,two faaev,868747,eight six eight seven four seven,GroupedGenericPronunciation,p297,train
527,five two seven,928596,nine two eight five nine six,GroupedGenericPronunciation,p330,train
33,double three,569374,five six nine three seven fo,GroupedGenericPronunciation,VCTK_p226,test
633,six double three,725499,seven too faaev four double nine,GroupedGenericPronunciation,p283,train
0219,zero too one nine,482326,four eight too three too six,GroupedGenericPronunciation,p260,train
59,faaev nine,742712,seven fo two seven one two,GroupedGenericPronunciation,p284,train
00,double o,564597,faaev six four faaev nine seven,GroupedGenericPronunciation,p288,train
212,too one too,757246,seven five seven too fo six,GroupedGenericPronunciation,p345,train
482,fo eight two,844182,eight double fo one eight two,GroupedGenericPronunciation,p305,train
0504,o five o fo,951036,nine five one o three six,GroupedGenericPronunciation,p271,train
186,one eight six,947057,nine fo seven o five seven,GroupedGenericPronunciation,p271,train
005,double zero faaev,486897,four eight six eight nine seven,GroupedGenericPronunciation,p282,train
120,one too zero,623018,six too three zero one eight,GroupedGenericPronunciation,p266,train
6714,six seven one fo,122637,one double two six three seven,GroupedGenericPronunciation,VCTK_p241,test
08,o eight,616929,six one six nine too nine,GroupedGenericPronunciation,p340,train
22,double too,186305,one eight six three zero five,GroupedGenericPronunciation,VCTK_p232,test
3799,three seven double nine,376461,three seven six four six one,GroupedGenericPronunciation,p343,train
62,six two,320728,three two o seven two eight,GroupedGenericPronunciation,p298,train
25,two faaev,898521,eight nine eight faaev two one,GroupedGenericPronunciation,p306,train
62,six too,598809,five nine double eight o nine,GroupedGenericPronunciation,p267,train
437,four three seven,768908,seven six eight nine o eight,GroupedGenericPronunciation,p260,train
844,eight double fo,832304,eight three too three zero fo,GroupedGenericPronunciation,p260,train
290,too nine o,528331,five too eight double three one,GroupedGenericPronunciation,p364,train
051,zero faaev one,329901,three two double nine zero one,GroupedGenericPronunciation,p297,train
53,five three,893019,eight nine three o one nine,GroupedGenericPronunciation,p299,train
372,three seven too,604257,six o four too five seven,GroupedGenericPronunciation,p282,train
25,two faaev,674689,six seven four six eight nine,GroupedGenericPronunciation,p298,train
95,nine faaev,315842,three one faaev eight four too,GroupedGenericPronunciation,p281,train
94,nine fo,215146,two one five one fo six,GroupedGenericPronunciation,p311,train
5541,double faaev four one,823114,eight two three double one four,GroupedGenericPronunciation,p267,train
051,zero five one,566108,five double six one zero eight,GroupedGenericPronunciation,p270,train
4200,fo too double o,893535,eight nine three faaev three faaev,GroupedGenericPronunciation,p334,train
1674,one six seven four,035057,o three faaev o faaev seven,GroupedGenericPronunciation,p287,train
36,three six,673563,six seven three five six three,GroupedGenericPronunciation,p316,train
372,three seven two,611826,six double one eight two six,GroupedGenericPronunciation,VCTK_p243,test
9498,nine fo nine eight,385189,three eight five one eight nine,GroupedGenericPronunciation,p283,train
844,eight double fo,783125,seven eight three one two faaev,GroupedGenericPronunciation,p323,train
216,two one six,978910,nine seven eight nine one o,GroupedGenericPronunciation,p339,train
437,four three seven,632730,six three too seven three zero,GroupedGenericPronunciation,p263,train
37,three seven,565602,faaev six faaev six o too,GroupedGenericPronunciation,p362,train
858,eight faaev eight,626811,six two six eight double one,GroupedGenericPronunciation,p257,train
4151,four one faaev one,385110,three eight faaev double one zero,GroupedGenericPronunciation,p264,train
715,seven one faaev,330055,double three double zero double faaev,GroupedGenericPronunciation,p274,train
586,five eight six,823237,eight two three two three seven,GroupedGenericPronunciation,p282,train
2498,too fo nine eight,972667,nine seven too double six seven,GroupedGenericPronunciation,p374,train
9839,nine eight three nine,817869,eight one seven eight six nine,GroupedGenericPronunciation,VCTK_p239,test
36,three six,143893,one four three eight nine three,GroupedGenericPronunciation,p335,train
715,seven one five,637223,six three seven double too three,GroupedGenericPronunciation,VCTK_p229,test
437,fo three seven,861051,eight six one o five one,GroupedGenericPronunciation,p272,train
6364,six three six four,766114,seven double six double one four,GroupedGenericPronunciation,p301,train
588,faaev double eight,301490,three o one four nine o,GroupedGenericPronunciation,p263,train
633,six double three,580636,five eight zero six three six,GroupedGenericPronunciation,VCTK_p227,test
0504,o faaev o fo,789683,seven eight nine six eight three,GroupedGenericPronunciation,p254,train
4537,fo faaev three seven,361349,three six one three fo nine,GroupedGenericPronunciation,p283,train
248,too fo eight,162805,one six too eight zero faaev,GroupedGenericPronunciation,p270,train
290,two nine zero,076796,zero seven six seven nine six,GroupedGenericPronunciation,VCTK_p241,test
482,fo eight too,489567,fo eight nine five six seven,GroupedGenericPronunciation,p285,train
37,three seven,821682,eight two one six eight two,GroupedGenericPronunciation,p310,train
6714,six seven one four,991405,double nine one four o faaev,GroupedGenericPronunciation,p306,train
1674,one six seven fo,352432,three faaev too fo three too,GroupedGenericPronunciation,p339,train
187,one eight seven,353498,three five three fo nine eight,GroupedGenericPronunciation,VCTK_p246,test
54,five fo,816006,eight one six double o six,GroupedGenericPronunciation,p316,train
79,seven nine,713166,seven one three one double six,GroupedGenericPronunciation,p329,train
372,three seven two,357890,three faaev seven eight nine zero,GroupedGenericPronunciation,p317,train
132,one three two,384766,three eight four seven double six,GroupedGenericPronunciation,p374,train
37,three seven,062523,zero six too faaev too three,GroupedGenericPronunciation,p333,train
08,o eight,914959,nine one four nine faaev nine,GroupedGenericPronunciation,p251,train
58,faaev eight,265652,two six faaev six faaev two,GroupedGenericPronunciation,p334,train
63,six three,719500,seven one nine five double o,GroupedGenericPronunciation,VCTK_p246,test
0504,o five o four,456309,four five six three o nine,GroupedGenericPronunciation,p265,train
58,faaev eight,416663,fo one triple six three,GroupedGenericPronunciation,p259,train
8924,eight nine too fo,860148,eight six o one fo eight,GroupedGenericPronunciation,p362,train
7665,seven double six five,958475,nine five eight four seven five,GroupedGenericPronunciation,p361,train
89,eight nine,441183,double fo double one eight three,GroupedGenericPronunciation,p362,train
94,nine fo,934609,nine three fo six zero nine,GroupedGenericPronunciation,VCTK_p244,test
25,two five,737063,seven three seven o six three,GroupedGenericPronunciation,p303,train
7665,seven double six five,431907,four three one nine zero seven,GroupedGenericPronunciation,VCTK_p236,test
94,nine fo,262881,too six too double eight one,GroupedGenericPronunciation,p252,train
00,double o,680872,six eight o eight seven too,GroupedGenericPronunciation,p376,train
051,zero five one,360386,three six zero three eight six,GroupedGenericPronunciation,VCTK_p232,test
30,three o,059164,o five nine one six four,GroupedGenericPronunciation,VCTK_p232,test
08,o eight,798080,seven nine eight o eight o,GroupedGenericPronunciation,p265,train
661,double six one,245686,two fo five six eight six,GroupedGenericPronunciation,p307,train
216,two one six,230300,two three o three double o,GroupedGenericPronunciation,p261,train
0204,o two o fo,653754,six five three seven five fo,GroupedGenericPronunciation,p273,train
137,one three seven,554104,double faaev four one o four,GroupedGenericPronunciation,p351,train
84,eight four,212692,two one two six nine two,GroupedGenericPronunciation,VCTK_p237,test
26,two six,450523,fo five o five two three,GroupedGenericPronunciation,p311,train
0204,zero two zero four,392784,three nine two seven eight four,GroupedGenericPronunciation,p364,train
0676,o six seven six,191762,one nine one seven six too,GroupedGenericPronunciation,VCTK_p229,test
0019,double zero one nine,934525,nine three fo faaev two faaev,GroupedGenericPronunciation,p260,train
63,six three,892260,eight nine double too six o,GroupedGenericPronunciation,p323,train
6450,six fo faaev zero,515007,faaev one faaev double zero seven,GroupedGenericPronunciation,VCTK_p229,test
6450,six four faaev zero,922734,nine double too seven three four,GroupedGenericPronunciation,VCTK_p247,test
1496,one four nine six,998844,double nine double eight double four,GroupedGenericPronunciation,p303,train
187,one eight seven,816081,eight one six zero eight one,GroupedGenericPronunciation,p281,train
95,nine faaev,459139,fo faaev nine one three nine,GroupedGenericPronunciation,VCTK_p247,test
4537,four faaev three seven,728212,seven two eight two one two,GroupedGenericPronunciation,p303,train
12,one too,199273,one double nine too seven three,GroupedGenericPronunciation,VCTK_p241,test
482,fo eight too,590219,faaev nine o too one nine,GroupedGenericPronunciation,VCTK_p239,test
989,nine eight nine,853476,eight faaev three fo seven six,GroupedGenericPronunciation,VCTK_p233,test
63,six three,548439,faaev four eight four three nine,GroupedGenericPronunciation,p282,train
8120,eight one too o,241299,too four one too double nine,GroupedGenericPronunciation,p364,train
4200,four two double o,447144,double four seven one double four,GroupedGenericPronunciation,VCTK_p238,test
7258,seven two faaev eight,420038,four two double o three eight,GroupedGenericPronunciation,p282,train
62,six too,189301,one eight nine three o one,GroupedGenericPronunciation,VCTK_p237,test
6714,six seven one four,189730,one eight nine seven three zero,GroupedGenericPronunciation,p318,train
2498,too fo nine eight,938833,nine three double eight double three,GroupedGenericPronunciation,VCTK_p240,test
7665,seven double six five,204200,two zero four two double zero,GroupedGenericPronunciation,p277,train
8933,eight nine double three,013008,o one three double o eight,GroupedGenericPronunciation,p260,train
12,one too,623122,six too three one double too,GroupedGenericPronunciation,p273,train
113,double one three,286485,too eight six four eight five,GroupedGenericPronunciation,p279,train
59,five nine,338140,double three eight one fo zero,GroupedGenericPronunciation,p261,train
396,three nine six,519186,faaev one nine one eight six,GroupedGenericPronunciation,p313,train
4151,fo one faaev one,893298,eight nine three too nine eight,GroupedGenericPronunciation,p305,train
8924,eight nine too fo,690268,six nine o too six eight,GroupedGenericPronunciation,p311,train
25,two faaev,904841,nine zero fo eight fo one,GroupedGenericPronunciation,VCTK_p230,test
437,fo three seven,577733,five triple seven double three,GroupedGenericPronunciation,p253,train
372,three seven too,055565,o triple five six five,GroupedGenericPronunciation,p267,train
4200,four two double o,334570,double three four five seven o,GroupedGenericPronunciation,p297,train
844,eight double fo,613429,six one three fo two nine,GroupedGenericPronunciation,p312,train
4537,four five three seven,667243,double six seven two four three,GroupedGenericPronunciation,p278,train
58,faaev eight,285425,too eight faaev fo too faaev,GroupedGenericPronunciation,VCTK_p239,test
482,fo eight too,414080,fo one fo zero eight zero,GroupedGenericPronunciation,p283,train
113,double one three,473338,four seven triple three eight,GroupedGenericPronunciation,VCTK_p236,test
437,four three seven,061181,o six double one eight one,GroupedGenericPronunciation,p255,train
2501,two faaev o one,055580,o triple faaev eight o,GroupedGenericPronunciation,p341,train
252,too five too,931349,nine three one three four nine,GroupedGenericPronunciation,p284,train
858,eight five eight,954315,nine five four three one five,GroupedGenericPronunciation,p292,train
94,nine fo,567762,faaev six double seven six two,GroupedGenericPronunciation,VCTK_p246,test
186,one eight six,396366,three nine six three double six,GroupedGenericPronunciation,VCTK_p243,test
844,eight double four,454995,four faaev four double nine faaev,GroupedGenericPronunciation,VCTK_p240,test
733,seven double three,997654,double nine seven six faaev fo,GroupedGenericPronunciation,p280,train
26,too six,095501,o nine double five o one,GroupedGenericPronunciation,p256,train
79,seven nine,544482,faaev triple four eight two,GroupedGenericPronunciation,p257,train
224,double too fo,169644,one six nine six double fo,GroupedGenericPronunciation,p297,train
985,nine eight faaev,144705,one double fo seven o faaev,GroupedGenericPronunciation,p285,train
187,one eight seven,794317,seven nine fo three one seven,GroupedGenericPronunciation,p257,train
84,eight four,362459,three six too four five nine,GroupedGenericPronunciation,p343,train
858,eight five eight,741339,seven four one double three nine,GroupedGenericPronunciation,VCTK_p231,test
290,too nine zero,074980,zero seven four nine eight zero,GroupedGenericPronunciation,p297,train
1496,one fo nine six,036304,o three six three o fo,GroupedGenericPronunciation,p256,train
577,five double seven,068779,o six eight double seven nine,GroupedGenericPronunciation,p248,train
53,faaev three,557538,double faaev seven faaev three eight,GroupedGenericPronunciation,p270,train
372,three seven too,151875,one five one eight seven five,GroupedGenericPronunciation,p277,train
0019,double o one nine,099793,o double nine seven nine three,GroupedGenericPronunciation,p333,train
120,one two zero,462875,fo six two eight seven faaev,GroupedGenericPronunciation,p340,train
26,two six,086726,o eight six seven two six,GroupedGenericPronunciation,p254,train
8924,eight nine too fo,394387,three nine fo three eight seven,GroupedGenericPronunciation,VCTK_p239,test
1674,one six seven fo,217251,two one seven two five one,GroupedGenericPronunciation,p303,train
120,one too o,280684,too eight o six eight fo,GroupedGenericPronunciation,p277,train
1674,one six seven fo,411794,fo double one seven nine fo,GroupedGenericPronunciation,p248,train
8999,eight triple nine,522203,five triple too o three,GroupedGenericPronunciation,p249,train
562,faaev six too,186867,one eight six eight six seven,GroupedGenericPronunciation,VCTK_p226,test
62,six two,130253,one three zero two faaev three,GroupedGenericPronunciation,p308,train
62,six too,326625,three too double six too five,GroupedGenericPronunciation,VCTK_p240,test
22,double too,607387,six zero seven three eight seven,GroupedGenericPronunciation,p298,train
252,two five two,117694,double one seven six nine four,GroupedGenericPronunciation,p310,train
53,five three,607770,six o triple seven o,GroupedGenericPronunciation,p249,train
7665,seven double six five,652859,six five two eight five nine,GroupedGenericPronunciation,p336,train
113,double one three,432642,four three too six four too,GroupedGenericPronunciation,p313,train
8151,eight one five one,640231,six four o two three one,GroupedGenericPronunciation,p286,train
6364,six three six fo,769582,seven six nine faaev eight too,GroupedGenericPronunciation,p329,train
7258,seven two five eight,178948,one seven eight nine fo eight,GroupedGenericPronunciation,p306,train
12,one two,306149,three zero six one fo nine,GroupedGenericPronunciation,p362,train
22,double too,393064,three nine three zero six four,GroupedGenericPronunciation,p343,train
562,faaev six two,516154,faaev one six one faaev four,GroupedGenericPronunciation,p292,train
4537,four five three seven,390415,three nine zero four one five,GroupedGenericPronunciation,VCTK_p241,test
212,too one too,983391,nine eight double three nine one,GroupedGenericPronunciation,p271,train
8151,eight one faaev one,722880,seven double too double eight o,GroupedGenericPronunciation,p313,train
4537,four faaev three seven,756532,seven faaev six faaev three two,GroupedGenericPronunciation,p274,train
715,seven one five,095664,o nine five double six four,GroupedGenericPronunciation,p263,train
4200,fo too double zero,356539,three faaev six faaev three nine,GroupedGenericPronunciation,p260,train
6450,six four five zero,348910,three four eight nine one zero,GroupedGenericPronunciation,p275,train
0676,zero six seven six,351325,three five one three two five,GroupedGenericPronunciation,p330,train
248,too fo eight,857225,eight five seven double too five,GroupedGenericPronunciation,p335,train
137,one three seven,158042,one five eight zero four two,GroupedGenericPronunciation,p361,train
6450,six four five o,253309,too five double three o nine,GroupedGenericPronunciation,p293,train
89,eight nine,366842,three double six eight four too,GroupedGenericPronunciation,VCTK_p245,test
8999,eight triple nine,727498,seven two seven fo nine eight,GroupedGenericPronunciation,p362,train
57,faaev seven,983383,nine eight double three eight three,GroupedGenericPronunciation,p347,train
94,nine fo,580322,five eight zero three double too,GroupedGenericPronunciation,VCTK_p231,test
248,two four eight,555621,triple faaev six two one,GroupedGenericPronunciation,VCTK_p247,test
08,zero eight,464850,four six four eight five zero,GroupedGenericPronunciation,p333,train
8954,eight nine five fo,507452,five o seven fo five too,GroupedGenericPronunciation,VCTK_p241,test
9839,nine eight three nine,082564,zero eight too five six fo,GroupedGenericPronunciation,p347,train
588,faaev double eight,885595,double eight double faaev nine faaev,GroupedGenericPronunciation,VCTK_p226,test
8151,eight one five one,569577,five six nine five double seven,GroupedGenericPronunciation,VCTK_p232,test
0019,double zero one nine,849656,eight four nine six faaev six,GroupedGenericPronunciation,p263,train
9839,nine eight three nine,236576,two three six five seven six,GroupedGenericPronunciation,VCTK_p231,test
588,five double eight,799178,seven double nine one seven eight,GroupedGenericPronunciation,p253,train
186,one eight six,342705,three fo too seven zero faaev,GroupedGenericPronunciation,p314,train
08,o eight,463487,four six three four eight seven,GroupedGenericPronunciation,p258,train
005,double o five,376116,three seven six double one six,GroupedGenericPronunciation,p312,train
33,double three,224187,double two fo one eight seven,GroupedGenericPronunciation,p276,train
0676,o six seven six,046289,o four six two eight nine,GroupedGenericPronunciation,p267,train
482,fo eight too,913410,nine one three fo one zero,GroupedGenericPronunciation,p268,train
482,fo eight too,321872,three too one eight seven too,GroupedGenericPronunciation,p330,train
132,one three two,406194,four zero six one nine four,GroupedGenericPronunciation,p263,train
4537,four faaev three seven,823396,eight two double three nine six,GroupedGenericPronunciation,p259,train
1496,one four nine six,778750,double seven eight seven five o,GroupedGenericPronunciation,p264,train
63,six three,972720,nine seven too seven too o,GroupedGenericPronunciation,p304,train
482,four eight too,862466,eight six too four double six,GroupedGenericPronunciation,p374,train
33,double three,942155,nine four too one double five,GroupedGenericPronunciation,p304,train
137,one three seven,797788,seven nine double seven double eight,GroupedGenericPronunciation,p273,train
6364,six three six fo,630660,six three zero double six zero,GroupedGenericPronunciation,VCTK_p243,test
79,seven nine,433171,four double three one seven one,GroupedGenericPronunciation,p267,train
53,five three,597003,five nine seven double zero three,GroupedGenericPronunciation,p267,train
8999,eight triple nine,954021,nine faaev fo o two one,GroupedGenericPronunciation,p304,train
858,eight faaev eight,056983,o faaev six nine eight three,GroupedGenericPronunciation,p258,train
6450,six four faaev o,437950,four three seven nine faaev o,GroupedGenericPronunciation,VCTK_p237,test
94,nine fo,081043,zero eight one zero fo three,GroupedGenericPronunciation,p305,train
577,five double seven,112611,double one too six double one,GroupedGenericPronunciation,p292,train
8120,eight one two zero,982014,nine eight two zero one fo,GroupedGenericPronunciation,VCTK_p229,test
12,one two,771258,double seven one two five eight,GroupedGenericPronunciation,p298,train
36,three six,837357,eight three seven three faaev seven,GroupedGenericPronunciation,p267,train
733,seven double three,388289,three double eight too eight nine,GroupedGenericPronunciation,p264,train
086,o eight six,428972,fo too eight nine seven too,GroupedGenericPronunciation,p276,train
79,seven nine,474368,four seven four three six eight,GroupedGenericPronunciation,p362,train
3212,three too one too,898275,eight nine eight too seven faaev,GroupedGenericPronunciation,VCTK_p225,test
9498,nine fo nine eight,777042,triple seven zero fo two,GroupedGenericPronunciation,p314,train
7258,seven two faaev eight,089965,zero eight double nine six faaev,GroupedGenericPronunciation,p259,train
7665,seven double six faaev,487181,fo eight seven one eight one,GroupedGenericPronunciation,p299,train
94,nine fo,967283,nine six seven too eight three,GroupedGenericPronunciation,p265,train
58,faaev eight,345322,three four faaev three double two,GroupedGenericPronunciation,p351,train
7258,seven two five eight,289834,two eight nine eight three four,GroupedGenericPronunciation,p302,train
79,seven nine,209334,too zero nine double three four,GroupedGenericPronunciation,p361,train
4537,four five three seven,362048,three six two o four eight,GroupedGenericPronunciation,p260,train
372,three seven two,663488,double six three fo double eight,GroupedGenericPronunciation,VCTK_p232,test
051,zero five one,252997,two five two double nine seven,GroupedGenericPronunciation,p295,train
8933,eight nine double three,181016,one eight one zero one six,GroupedGenericPronunciation,p249,train
8151,eight one five one,462247,four six double two four seven,GroupedGenericPronunciation,p251,train
63,six three,501915,five o one nine one five,GroupedGenericPronunciation,VCTK_p237,test
68,six eight,496170,fo nine six one seven zero,GroupedGenericPronunciation,VCTK_p231,test
53,faaev three,198349,one nine eight three fo nine,GroupedGenericPronunciation,p313,train
2865,too eight six five,198241,one nine eight too four one,GroupedGenericPronunciation,p263,train
0676,o six seven six,221152,double two double one five two,GroupedGenericPronunciation,p257,train
3799,three seven double nine,992381,double nine two three eight one,GroupedGenericPronunciation,p253,train
6364,six three six fo,684583,six eight fo five eight three,GroupedGenericPronunciation,p255,train
4200,fo too double zero,291555,too nine one triple faaev,GroupedGenericPronunciation,p374,train
1554,one double five four,633957,six double three nine five seven,GroupedGenericPronunciation,VCTK_p243,test
633,six double three,874874,eight seven fo eight seven fo,GroupedGenericPronunciation,p252,train
9720,nine seven two o,216890,two one six eight nine o,GroupedGenericPronunciation,p281,train
137,one three seven,136971,one three six nine seven one,GroupedGenericPronunciation,p256,train
22,double too,430843,fo three o eight fo three,GroupedGenericPronunciation,p299,train
49,four nine,783036,seven eight three o three six,GroupedGenericPronunciation,VCTK_p243,test
2498,two four nine eight,988481,nine double eight four eight one,GroupedGenericPronunciation,VCTK_p225,test
586,faaev eight six,648056,six fo eight zero faaev six,GroupedGenericPronunciation,p265,train
4151,fo one five one,216940,too one six nine fo zero,GroupedGenericPronunciation,p323,train
9498,nine four nine eight,815580,eight one double faaev eight zero,GroupedGenericPronunciation,p248,train
0219,o two one nine,061887,o six one double eight seven,GroupedGenericPronunciation,p335,train
95,nine five,841064,eight four one zero six four,GroupedGenericPronunciation,p362,train
6364,six three six four,480325,four eight zero three two faaev,GroupedGenericPronunciation,p335,train
57,five seven,020546,o two o five fo six,GroupedGenericPronunciation,p317,train
086,o eight six,913018,nine one three o one eight,GroupedGenericPronunciation,VCTK_p232,test
0219,o two one nine,685420,six eight faaev fo two o,GroupedGenericPronunciation,p257,train
2501,two five o one,930236,nine three o two three six,GroupedGenericPronunciation,p302,train
2095,too zero nine faaev,357176,three faaev seven one seven six,GroupedGenericPronunciation,p312,train
661,double six one,184747,one eight fo seven fo seven,GroupedGenericPronunciation,p300,train
8954,eight nine faaev four,762909,seven six too nine o nine,GroupedGenericPronunciation,VCTK_p225,test
58,faaev eight,918535,nine one eight faaev three faaev,GroupedGenericPronunciation,p292,train
53,faaev three,058582,zero faaev eight faaev eight two,GroupedGenericPronunciation,p276,train
224,double two fo,068829,o six double eight two nine,GroupedGenericPronunciation,p282,train
