Prompt,Denormalized Prompt,Normalized Sequence,Denormalized Sequence,Pronunication Class,Speaker ID,split,prompt_path,seq_path,prompt_path_audio,seq_path_audio
gk,jee k,jmskmi,jay am es k am i,GroupedGenericPronunciation,p299,train,dump/alphanumeric_features/6460_prompt.pth,dump/alphanumeric_features/6460_seq.pth,dump/alphanumeric/6460_prompt.wav,dump/alphanumeric/6460_seq.wav
84,eight fo,npr7up,en pee r seven you pee,GroupedGenericPronunciation,p317,train,dump/alphanumeric_features/6461_prompt.pth,dump/alphanumeric_features/6461_seq.pth,dump/alphanumeric/6461_prompt.wav,dump/alphanumeric/6461_seq.wav
wc,double you see,ej6hsf,ee jay six haych s ef,GroupedGenericPronunciation,p293,train,dump/alphanumeric_features/6462_prompt.pth,dump/alphanumeric_features/6462_seq.pth,dump/alphanumeric/6462_prompt.wav,dump/alphanumeric/6462_seq.wav
gbw,jee bee double you,znehhl,z n ee aeych aeych l,GroupedGenericPronunciation,p340,train,dump/alphanumeric_features/6463_prompt.pth,dump/alphanumeric_features/6463_seq.pth,dump/alphanumeric/6463_prompt.wav,dump/alphanumeric/6463_seq.wav
549,faaev four nine,qeutt5,q ee you ti ti faaev,GroupedGenericPronunciation,p314,train,dump/alphanumeric_features/6464_prompt.pth,dump/alphanumeric_features/6464_seq.pth,dump/alphanumeric/6464_prompt.wav,dump/alphanumeric/6464_seq.wav
8020,eight zero two zero,gf651y,jee ef six faaev one wai,GroupedGenericPronunciation,p254,train,dump/alphanumeric_features/6465_prompt.pth,dump/alphanumeric_features/6465_seq.pth,dump/alphanumeric/6465_prompt.wav,dump/alphanumeric/6465_seq.wav
zh,zed aeych,jcdpou,j see dee p oh uu,GroupedGenericPronunciation,p362,train,dump/alphanumeric_features/6466_prompt.pth,dump/alphanumeric_features/6466_seq.pth,dump/alphanumeric/6466_prompt.wav,dump/alphanumeric/6466_seq.wav
lbm,l bee m,4nz2lo,four en zed too l o,GroupedGenericPronunciation,p303,train,dump/alphanumeric_features/6467_prompt.pth,dump/alphanumeric_features/6467_seq.pth,dump/alphanumeric/6467_prompt.wav,dump/alphanumeric/6467_seq.wav
izo,i z oh,vckuvs,v see k uu v s,GroupedGenericPronunciation,p306,train,dump/alphanumeric_features/6468_prompt.pth,dump/alphanumeric_features/6468_seq.pth,dump/alphanumeric/6468_prompt.wav,dump/alphanumeric/6468_seq.wav
78,seven eight,gve06i,jee wee ee zero six eye,GroupedGenericPronunciation,p333,train,dump/alphanumeric_features/6470_prompt.pth,dump/alphanumeric_features/6470_seq.pth,dump/alphanumeric/6470_prompt.wav,dump/alphanumeric/6470_seq.wav
918,nine one eight,zaplye,z ae pee el wai ee,GroupedGenericPronunciation,p302,train,dump/alphanumeric_features/6471_prompt.pth,dump/alphanumeric_features/6471_seq.pth,dump/alphanumeric/6471_prompt.wav,dump/alphanumeric/6471_seq.wav
505,faaev zero faaev,haisg5,aeych ae i s jee faaev,GroupedGenericPronunciation,p280,train,dump/alphanumeric_features/6472_prompt.pth,dump/alphanumeric_features/6472_seq.pth,dump/alphanumeric/6472_prompt.wav,dump/alphanumeric/6472_seq.wav
hi,aeych eye,3njymy,three aen jay why em why,GroupedGenericPronunciation,p287,train,dump/alphanumeric_features/6473_prompt.pth,dump/alphanumeric_features/6473_seq.pth,dump/alphanumeric/6473_prompt.wav,dump/alphanumeric/6473_seq.wav
8020,eight zero two zero,coqx5j,see o q x faaev j,GroupedGenericPronunciation,p249,train,dump/alphanumeric_features/6475_prompt.pth,dump/alphanumeric_features/6475_seq.pth,dump/alphanumeric/6475_prompt.wav,dump/alphanumeric/6475_seq.wav
88,double eight,fcc9vi,ef see see nine v i,GroupedGenericPronunciation,p265,train,dump/alphanumeric_features/6476_prompt.pth,dump/alphanumeric_features/6476_seq.pth,dump/alphanumeric/6476_prompt.wav,dump/alphanumeric/6476_seq.wav
2h5,too haych five,a5xz97,ae five eks zed nine seven,GroupedGenericPronunciation,p294,train,dump/alphanumeric_features/6477_prompt.pth,dump/alphanumeric_features/6477_seq.pth,dump/alphanumeric/6477_prompt.wav,dump/alphanumeric/6477_seq.wav
980,nine eight zero,xaq4vo,x ae q fo v oo,GroupedGenericPronunciation,p306,train,dump/alphanumeric_features/6478_prompt.pth,dump/alphanumeric_features/6478_seq.pth,dump/alphanumeric/6478_prompt.wav,dump/alphanumeric/6478_seq.wav
iec,i ee see,ylpqx4,y el pee q x four,GroupedGenericPronunciation,p276,train,dump/alphanumeric_features/6479_prompt.pth,dump/alphanumeric_features/6479_seq.pth,dump/alphanumeric/6479_prompt.wav,dump/alphanumeric/6479_seq.wav
848,eight fo eight,052qhv,zero five too q aeych wee,GroupedGenericPronunciation,p330,train,dump/alphanumeric_features/6481_prompt.pth,dump/alphanumeric_features/6481_seq.pth,dump/alphanumeric/6481_prompt.wav,dump/alphanumeric/6481_seq.wav
cf,see ef,sd7tfs,es dee seven tee ef es,GroupedGenericPronunciation,p376,train,dump/alphanumeric_features/6482_prompt.pth,dump/alphanumeric_features/6482_seq.pth,dump/alphanumeric/6482_prompt.wav,dump/alphanumeric/6482_seq.wav
ndwr,aen dee double u r,gizflb,jee i zed ef l bee,GroupedGenericPronunciation,p255,train,dump/alphanumeric_features/6483_prompt.pth,dump/alphanumeric_features/6483_seq.pth,dump/alphanumeric/6483_prompt.wav,dump/alphanumeric/6483_seq.wav
tc,tee see,6ax28v,six ae eks two eight v,GroupedGenericPronunciation,p248,train,dump/alphanumeric_features/6485_prompt.pth,dump/alphanumeric_features/6485_seq.pth,dump/alphanumeric/6485_prompt.wav,dump/alphanumeric/6485_seq.wav
db,dee bee,rlksyu,aar el kay es wai you,GroupedGenericPronunciation,p339,train,dump/alphanumeric_features/6486_prompt.pth,dump/alphanumeric_features/6486_seq.pth,dump/alphanumeric/6486_prompt.wav,dump/alphanumeric/6486_seq.wav
751,seven faaev one,to5xw9,tee oo faaev eks double u nine,GroupedGenericPronunciation,p351,train,dump/alphanumeric_features/6487_prompt.pth,dump/alphanumeric_features/6487_seq.pth,dump/alphanumeric/6487_prompt.wav,dump/alphanumeric/6487_seq.wav
pbp,p bee pee,uv89si,uu v eight nine s eye,GroupedGenericPronunciation,p272,train,dump/alphanumeric_features/6488_prompt.pth,dump/alphanumeric_features/6488_seq.pth,dump/alphanumeric/6488_prompt.wav,dump/alphanumeric/6488_seq.wav
7w,seven double u,oqm2jn,oh cuu em two j aen,GroupedGenericPronunciation,p374,train,dump/alphanumeric_features/6489_prompt.pth,dump/alphanumeric_features/6489_seq.pth,dump/alphanumeric/6489_prompt.wav,dump/alphanumeric/6489_seq.wav
gbw,jee bee double you,4esc10,fo ee s see one zero,GroupedGenericPronunciation,p280,train,dump/alphanumeric_features/6490_prompt.pth,dump/alphanumeric_features/6490_seq.pth,dump/alphanumeric/6490_prompt.wav,dump/alphanumeric/6490_seq.wav
97,nine seven,kt2g2v,k ti two jee two wee,GroupedGenericPronunciation,p307,train,dump/alphanumeric_features/6491_prompt.pth,dump/alphanumeric_features/6491_seq.pth,dump/alphanumeric/6491_prompt.wav,dump/alphanumeric/6491_seq.wav
57,faaev seven,z206cu,zed two zero six see you,GroupedGenericPronunciation,p374,train,dump/alphanumeric_features/6492_prompt.pth,dump/alphanumeric_features/6492_seq.pth,dump/alphanumeric/6492_prompt.wav,dump/alphanumeric/6492_seq.wav
8774,eight double seven fo,chbwfc,see haych bee double you ef see,GroupedGenericPronunciation,p298,train,dump/alphanumeric_features/6493_prompt.pth,dump/alphanumeric_features/6493_seq.pth,dump/alphanumeric/6493_prompt.wav,dump/alphanumeric/6493_seq.wav
918,nine one eight,xdtkyx,eks dee tee k why x,GroupedGenericPronunciation,p280,train,dump/alphanumeric_features/6494_prompt.pth,dump/alphanumeric_features/6494_seq.pth,dump/alphanumeric/6494_prompt.wav,dump/alphanumeric/6494_seq.wav
848,eight four eight,rkcyij,aar kay see y eye jay,GroupedGenericPronunciation,p288,train,dump/alphanumeric_features/6495_prompt.pth,dump/alphanumeric_features/6495_seq.pth,dump/alphanumeric/6495_prompt.wav,dump/alphanumeric/6495_seq.wav
wc,double u see,b9aijb,bee nine ae i jay bee,GroupedGenericPronunciation,p276,train,dump/alphanumeric_features/6496_prompt.pth,dump/alphanumeric_features/6496_seq.pth,dump/alphanumeric/6496_prompt.wav,dump/alphanumeric/6496_seq.wav
izo,i zee oh,q8pxpz,q eight pee eks pee zee,GroupedGenericPronunciation,p287,train,dump/alphanumeric_features/6497_prompt.pth,dump/alphanumeric_features/6497_seq.pth,dump/alphanumeric/6497_prompt.wav,dump/alphanumeric/6497_seq.wav
xadw,eks ae dee double you,aewsm5,ae ee double u es m faaev,GroupedGenericPronunciation,p261,train,dump/alphanumeric_features/6498_prompt.pth,dump/alphanumeric_features/6498_seq.pth,dump/alphanumeric/6498_prompt.wav,dump/alphanumeric/6498_seq.wav
092,zero nine two,lbnvey,el bee en wee ee y,GroupedGenericPronunciation,p265,train,dump/alphanumeric_features/6501_prompt.pth,dump/alphanumeric_features/6501_seq.pth,dump/alphanumeric/6501_prompt.wav,dump/alphanumeric/6501_seq.wav
kstf,kay s tee ef,pdwr35,pee dee double you r three five,GroupedGenericPronunciation,p362,train,dump/alphanumeric_features/6502_prompt.pth,dump/alphanumeric_features/6502_seq.pth,dump/alphanumeric/6502_prompt.wav,dump/alphanumeric/6502_seq.wav
41,fo one,oqwe30,oo cuu double u ee three zero,GroupedGenericPronunciation,p361,train,dump/alphanumeric_features/6503_prompt.pth,dump/alphanumeric_features/6503_seq.pth,dump/alphanumeric/6503_prompt.wav,dump/alphanumeric/6503_seq.wav
088,zero double eight,l40bnz,l fo zero bee n z,GroupedGenericPronunciation,p330,train,dump/alphanumeric_features/6504_prompt.pth,dump/alphanumeric_features/6504_seq.pth,dump/alphanumeric/6504_prompt.wav,dump/alphanumeric/6504_seq.wav
875,eight seven five,tom6gd,tee oh em six jee dee,GroupedGenericPronunciation,p274,train,dump/alphanumeric_features/6505_prompt.pth,dump/alphanumeric_features/6505_seq.pth,dump/alphanumeric/6505_prompt.wav,dump/alphanumeric/6505_seq.wav
7626,seven six too six,6na76i,six en ae seven six eye,GroupedGenericPronunciation,p260,train,dump/alphanumeric_features/6506_prompt.pth,dump/alphanumeric_features/6506_seq.pth,dump/alphanumeric/6506_prompt.wav,dump/alphanumeric/6506_seq.wav
aa00,ae ae double zero,ykvy7h,why kay wee why seven h,GroupedGenericPronunciation,p294,train,dump/alphanumeric_features/6507_prompt.pth,dump/alphanumeric_features/6507_seq.pth,dump/alphanumeric/6507_prompt.wav,dump/alphanumeric/6507_seq.wav
oqby,o cuu bee y,qeazjo,cuu ee ae zee j oo,GroupedGenericPronunciation,p279,train,dump/alphanumeric_features/6508_prompt.pth,dump/alphanumeric_features/6508_seq.pth,dump/alphanumeric/6508_prompt.wav,dump/alphanumeric/6508_seq.wav
c0hz,see zero haych zee,licsll,l eye see es l l,GroupedGenericPronunciation,p265,train,dump/alphanumeric_features/6509_prompt.pth,dump/alphanumeric_features/6509_seq.pth,dump/alphanumeric/6509_prompt.wav,dump/alphanumeric/6509_seq.wav
150,one five zero,sqjkq2,es cuu jay k cuu too,GroupedGenericPronunciation,p374,train,dump/alphanumeric_features/6510_prompt.pth,dump/alphanumeric_features/6510_seq.pth,dump/alphanumeric/6510_prompt.wav,dump/alphanumeric/6510_seq.wav
wc,double u see,t546ct,ti five fo six see ti,GroupedGenericPronunciation,p282,train,dump/alphanumeric_features/6511_prompt.pth,dump/alphanumeric_features/6511_seq.pth,dump/alphanumeric/6511_prompt.wav,dump/alphanumeric/6511_seq.wav
qq,q q,eon9hk,ee oh en nine haych kay,GroupedGenericPronunciation,p301,train,dump/alphanumeric_features/6512_prompt.pth,dump/alphanumeric_features/6512_seq.pth,dump/alphanumeric/6512_prompt.wav,dump/alphanumeric/6512_seq.wav
384,three eight fo,ztdosv,z tee dee o es v,GroupedGenericPronunciation,p362,train,dump/alphanumeric_features/6513_prompt.pth,dump/alphanumeric_features/6513_seq.pth,dump/alphanumeric/6513_prompt.wav,dump/alphanumeric/6513_seq.wav
duq,dee you cuu,s4v9ju,s four v nine j you,GroupedGenericPronunciation,p281,train,dump/alphanumeric_features/6514_prompt.pth,dump/alphanumeric_features/6514_seq.pth,dump/alphanumeric/6514_prompt.wav,dump/alphanumeric/6514_seq.wav
c0hz,see zero h zee,cavv0s,see ae wee v zero es,GroupedGenericPronunciation,p306,train,dump/alphanumeric_features/6515_prompt.pth,dump/alphanumeric_features/6515_seq.pth,dump/alphanumeric/6515_prompt.wav,dump/alphanumeric/6515_seq.wav
aa00,ae ae double zero,oiphpz,oo eye p haych p zee,GroupedGenericPronunciation,p347,train,dump/alphanumeric_features/6516_prompt.pth,dump/alphanumeric_features/6516_seq.pth,dump/alphanumeric/6516_prompt.wav,dump/alphanumeric/6516_seq.wav
ttqm,tee ti q m,yss1ma,wai es s one m ae,GroupedGenericPronunciation,p267,train,dump/alphanumeric_features/6517_prompt.pth,dump/alphanumeric_features/6517_seq.pth,dump/alphanumeric/6517_prompt.wav,dump/alphanumeric/6517_seq.wav
gbw,jee bee double you,zljarf,zed l j ae r ef,GroupedGenericPronunciation,p254,train,dump/alphanumeric_features/6518_prompt.pth,dump/alphanumeric_features/6518_seq.pth,dump/alphanumeric/6518_prompt.wav,dump/alphanumeric/6518_seq.wav
8020,eight zero too zero,pks7a9,p k s seven ae nine,GroupedGenericPronunciation,p264,train,dump/alphanumeric_features/6519_prompt.pth,dump/alphanumeric_features/6519_seq.pth,dump/alphanumeric/6519_prompt.wav,dump/alphanumeric/6519_seq.wav
ttqm,ti ti q em,zp7gyz,zed p seven jee wai zed,GroupedGenericPronunciation,p304,train,dump/alphanumeric_features/6520_prompt.pth,dump/alphanumeric_features/6520_seq.pth,dump/alphanumeric/6520_prompt.wav,dump/alphanumeric/6520_seq.wav
hi,haych eye,lvrtgc,el v r ti jee see,GroupedGenericPronunciation,p282,train,dump/alphanumeric_features/6521_prompt.pth,dump/alphanumeric_features/6521_seq.pth,dump/alphanumeric/6521_prompt.wav,dump/alphanumeric/6521_seq.wav
ndwr,en dee double you aar,ohcf0o,o h see ef zero oh,GroupedGenericPronunciation,p260,train,dump/alphanumeric_features/6522_prompt.pth,dump/alphanumeric_features/6522_seq.pth,dump/alphanumeric/6522_prompt.wav,dump/alphanumeric/6522_seq.wav
51,faaev one,c2sr5e,see too es arr faaev ee,GroupedGenericPronunciation,p275,train,dump/alphanumeric_features/6524_prompt.pth,dump/alphanumeric_features/6524_seq.pth,dump/alphanumeric/6524_prompt.wav,dump/alphanumeric/6524_seq.wav
duq,dee uu q,5uopk1,faaev uu oo p kay one,GroupedGenericPronunciation,p284,train,dump/alphanumeric_features/6525_prompt.pth,dump/alphanumeric_features/6525_seq.pth,dump/alphanumeric/6525_prompt.wav,dump/alphanumeric/6525_seq.wav
731,seven three one,wu1sql,double you you one es cuu el,GroupedGenericPronunciation,p312,train,dump/alphanumeric_features/6527_prompt.pth,dump/alphanumeric_features/6527_seq.pth,dump/alphanumeric/6527_prompt.wav,dump/alphanumeric/6527_seq.wav
hwu,h double u you,xhio05,eks h i oo zero faaev,GroupedGenericPronunciation,p271,train,dump/alphanumeric_features/6528_prompt.pth,dump/alphanumeric_features/6528_seq.pth,dump/alphanumeric/6528_prompt.wav,dump/alphanumeric/6528_seq.wav
ef,ee ef,bxsybc,bee x es wai bee see,GroupedGenericPronunciation,p341,train,dump/alphanumeric_features/6529_prompt.pth,dump/alphanumeric_features/6529_seq.pth,dump/alphanumeric/6529_prompt.wav,dump/alphanumeric/6529_seq.wav
ef,ee ef,062nrr,zero six too aen aar r,GroupedGenericPronunciation,p262,train,dump/alphanumeric_features/6530_prompt.pth,dump/alphanumeric_features/6530_seq.pth,dump/alphanumeric/6530_prompt.wav,dump/alphanumeric/6530_seq.wav
qq,cuu cuu,4hwecn,four h double u ee see n,GroupedGenericPronunciation,p301,train,dump/alphanumeric_features/6531_prompt.pth,dump/alphanumeric_features/6531_seq.pth,dump/alphanumeric/6531_prompt.wav,dump/alphanumeric/6531_seq.wav
8020,eight zero too zero,4u3e28,fo you three ee too eight,GroupedGenericPronunciation,p326,train,dump/alphanumeric_features/6532_prompt.pth,dump/alphanumeric_features/6532_seq.pth,dump/alphanumeric/6532_prompt.wav,dump/alphanumeric/6532_seq.wav
tc,tee see,320sv1,three two zero s wee one,GroupedGenericPronunciation,p306,train,dump/alphanumeric_features/6533_prompt.pth,dump/alphanumeric_features/6533_seq.pth,dump/alphanumeric/6533_prompt.wav,dump/alphanumeric/6533_seq.wav
2h5,two haych faaev,580zto,faaev eight zero z tee oo,GroupedGenericPronunciation,p270,train,dump/alphanumeric_features/6535_prompt.pth,dump/alphanumeric_features/6535_seq.pth,dump/alphanumeric/6535_prompt.wav,dump/alphanumeric/6535_seq.wav
cf,see ef,rxo7ej,r x oh seven ee jay,GroupedGenericPronunciation,p261,train,dump/alphanumeric_features/6536_prompt.pth,dump/alphanumeric_features/6536_seq.pth,dump/alphanumeric/6536_prompt.wav,dump/alphanumeric/6536_seq.wav
g5,jee five,ftn42a,ef tee en four too ae,GroupedGenericPronunciation,p308,train,dump/alphanumeric_features/6537_prompt.pth,dump/alphanumeric_features/6537_seq.pth,dump/alphanumeric/6537_prompt.wav,dump/alphanumeric/6537_seq.wav
41,four one,d64dyb,dee six four dee why bee,GroupedGenericPronunciation,p307,train,dump/alphanumeric_features/6541_prompt.pth,dump/alphanumeric_features/6541_seq.pth,dump/alphanumeric/6541_prompt.wav,dump/alphanumeric/6541_seq.wav
0bua,zero bee uu ae,otkct2,o ti kay see tee two,GroupedGenericPronunciation,p263,train,dump/alphanumeric_features/6543_prompt.pth,dump/alphanumeric_features/6543_seq.pth,dump/alphanumeric/6543_prompt.wav,dump/alphanumeric/6543_seq.wav
bm,bee em,uq4171,uu cuu fo one seven one,GroupedGenericPronunciation,p334,train,dump/alphanumeric_features/6544_prompt.pth,dump/alphanumeric_features/6544_seq.pth,dump/alphanumeric/6544_prompt.wav,dump/alphanumeric/6544_seq.wav
46,fo six,tjd3tu,tee jay dee three tee uu,GroupedGenericPronunciation,p267,train,dump/alphanumeric_features/6545_prompt.pth,dump/alphanumeric_features/6545_seq.pth,dump/alphanumeric/6545_prompt.wav,dump/alphanumeric/6545_seq.wav
lndi,el aen dee i,00p64d,double zero pee six four dee,GroupedGenericPronunciation,p263,train,dump/alphanumeric_features/6546_prompt.pth,dump/alphanumeric_features/6546_seq.pth,dump/alphanumeric/6546_prompt.wav,dump/alphanumeric/6546_seq.wav
m6lx,em six el eks,mtj8mp,em ti j eight em p,GroupedGenericPronunciation,p277,train,dump/alphanumeric_features/6547_prompt.pth,dump/alphanumeric_features/6547_seq.pth,dump/alphanumeric/6547_prompt.wav,dump/alphanumeric/6547_seq.wav
puuy,p uu you wai,6zy89k,six zee wai eight nine kay,GroupedGenericPronunciation,p270,train,dump/alphanumeric_features/6548_prompt.pth,dump/alphanumeric_features/6548_seq.pth,dump/alphanumeric/6548_prompt.wav,dump/alphanumeric/6548_seq.wav
088,zero double eight,5rmfzr,five r am ef zee aar,GroupedGenericPronunciation,p330,train,dump/alphanumeric_features/6549_prompt.pth,dump/alphanumeric_features/6549_seq.pth,dump/alphanumeric/6549_prompt.wav,dump/alphanumeric/6549_seq.wav
78,seven eight,344wpd,three double fo double u pee dee,GroupedGenericPronunciation,p284,train,dump/alphanumeric_features/6552_prompt.pth,dump/alphanumeric_features/6552_seq.pth,dump/alphanumeric/6552_prompt.wav,dump/alphanumeric/6552_seq.wav
lndi,el aen dee eye,qo3908,cuu o three nine zero eight,GroupedGenericPronunciation,p334,train,dump/alphanumeric_features/6553_prompt.pth,dump/alphanumeric_features/6553_seq.pth,dump/alphanumeric/6553_prompt.wav,dump/alphanumeric/6553_seq.wav
sgct,es jee see tee,5kkeqi,five kay k ee q i,GroupedGenericPronunciation,p345,train,dump/alphanumeric_features/6554_prompt.pth,dump/alphanumeric_features/6554_seq.pth,dump/alphanumeric/6554_prompt.wav,dump/alphanumeric/6554_seq.wav
dfo,dee ef oh,n915jd,en nine one five jay dee,GroupedGenericPronunciation,p261,train,dump/alphanumeric_features/6555_prompt.pth,dump/alphanumeric_features/6555_seq.pth,dump/alphanumeric/6555_prompt.wav,dump/alphanumeric/6555_seq.wav
hwu,h double you uu,inkdqt,eye en k dee cuu tee,GroupedGenericPronunciation,p262,train,dump/alphanumeric_features/6556_prompt.pth,dump/alphanumeric_features/6556_seq.pth,dump/alphanumeric/6556_prompt.wav,dump/alphanumeric/6556_seq.wav
off,o ef ef,h9fxyo,aeych nine ef eks why oh,GroupedGenericPronunciation,p363,train,dump/alphanumeric_features/6557_prompt.pth,dump/alphanumeric_features/6557_seq.pth,dump/alphanumeric/6557_prompt.wav,dump/alphanumeric/6557_seq.wav
14,one fo,1uwl6x,one you double you l six eks,GroupedGenericPronunciation,p280,train,dump/alphanumeric_features/6558_prompt.pth,dump/alphanumeric_features/6558_seq.pth,dump/alphanumeric/6558_prompt.wav,dump/alphanumeric/6558_seq.wav
hi,aeych i,xb2chk,eks bee too see aeych k,GroupedGenericPronunciation,p294,train,dump/alphanumeric_features/6559_prompt.pth,dump/alphanumeric_features/6559_seq.pth,dump/alphanumeric/6559_prompt.wav,dump/alphanumeric/6559_seq.wav
mi,m i,hrrz76,haych aar arr z seven six,GroupedGenericPronunciation,p304,train,dump/alphanumeric_features/6560_prompt.pth,dump/alphanumeric_features/6560_seq.pth,dump/alphanumeric/6560_prompt.wav,dump/alphanumeric/6560_seq.wav
off,oh ef ef,ltb4ih,l tee bee fo eye aeych,GroupedGenericPronunciation,p258,train,dump/alphanumeric_features/6561_prompt.pth,dump/alphanumeric_features/6561_seq.pth,dump/alphanumeric/6561_prompt.wav,dump/alphanumeric/6561_seq.wav
549,five four nine,q3ies6,cuu three i ee s six,GroupedGenericPronunciation,p300,train,dump/alphanumeric_features/6562_prompt.pth,dump/alphanumeric_features/6562_seq.pth,dump/alphanumeric/6562_prompt.wav,dump/alphanumeric/6562_seq.wav
aa00,ae ae double zero,4cxm25,four see x m too five,GroupedGenericPronunciation,p255,train,dump/alphanumeric_features/6563_prompt.pth,dump/alphanumeric_features/6563_seq.pth,dump/alphanumeric/6563_prompt.wav,dump/alphanumeric/6563_seq.wav
puuy,p you uu y,84gm2a,eight four jee m too ae,GroupedGenericPronunciation,p306,train,dump/alphanumeric_features/6564_prompt.pth,dump/alphanumeric_features/6564_seq.pth,dump/alphanumeric/6564_prompt.wav,dump/alphanumeric/6564_seq.wav
lbm,el bee em,7grbpc,seven jee aar bee pee see,GroupedGenericPronunciation,p279,train,dump/alphanumeric_features/6565_prompt.pth,dump/alphanumeric_features/6565_seq.pth,dump/alphanumeric/6565_prompt.wav,dump/alphanumeric/6565_seq.wav
092,zero nine too,2me8dr,too am ee eight dee aar,GroupedGenericPronunciation,p268,train,dump/alphanumeric_features/6566_prompt.pth,dump/alphanumeric_features/6566_seq.pth,dump/alphanumeric/6566_prompt.wav,dump/alphanumeric/6566_seq.wav
pbp,pee bee p,g6fj0o,jee six ef jay zero oh,GroupedGenericPronunciation,p270,train,dump/alphanumeric_features/6567_prompt.pth,dump/alphanumeric_features/6567_seq.pth,dump/alphanumeric/6567_prompt.wav,dump/alphanumeric/6567_seq.wav
wc,double u see,v4z1a4,wee four zed one ae four,GroupedGenericPronunciation,p313,train,dump/alphanumeric_features/6568_prompt.pth,dump/alphanumeric_features/6568_seq.pth,dump/alphanumeric/6568_prompt.wav,dump/alphanumeric/6568_seq.wav
549,faaev four nine,c5ycgz,see faaev why see jee z,GroupedGenericPronunciation,p288,train,dump/alphanumeric_features/6569_prompt.pth,dump/alphanumeric_features/6569_seq.pth,dump/alphanumeric/6569_prompt.wav,dump/alphanumeric/6569_seq.wav
er,ee arr,o00u4j,oh double zero you fo jay,GroupedGenericPronunciation,p263,train,dump/alphanumeric_features/6570_prompt.pth,dump/alphanumeric_features/6570_seq.pth,dump/alphanumeric/6570_prompt.wav,dump/alphanumeric/6570_seq.wav
bai,bee ae i,k5bfmi,kay five bee ef m eye,GroupedGenericPronunciation,p259,train,dump/alphanumeric_features/6571_prompt.pth,dump/alphanumeric_features/6571_seq.pth,dump/alphanumeric/6571_prompt.wav,dump/alphanumeric/6571_seq.wav
918,nine one eight,m1x2vi,m one x too wee i,GroupedGenericPronunciation,p340,train,dump/alphanumeric_features/6572_prompt.pth,dump/alphanumeric_features/6572_seq.pth,dump/alphanumeric/6572_prompt.wav,dump/alphanumeric/6572_seq.wav
em,ee m,lcflal,el see ef el ae el,GroupedGenericPronunciation,p257,train,dump/alphanumeric_features/6573_prompt.pth,dump/alphanumeric_features/6573_seq.pth,dump/alphanumeric/6573_prompt.wav,dump/alphanumeric/6573_seq.wav
m7,m seven,hfvm94,haych ef wee m nine four,GroupedGenericPronunciation,p323,train,dump/alphanumeric_features/6574_prompt.pth,dump/alphanumeric_features/6574_seq.pth,dump/alphanumeric/6574_prompt.wav,dump/alphanumeric/6574_seq.wav
9269,nine two six nine,47rtf0,four seven r ti ef zero,GroupedGenericPronunciation,p308,train,dump/alphanumeric_features/6575_prompt.pth,dump/alphanumeric_features/6575_seq.pth,dump/alphanumeric/6575_prompt.wav,dump/alphanumeric/6575_seq.wav
oqby,o cuu bee why,ygsfoc,why jee s ef o see,GroupedGenericPronunciation,p287,train,dump/alphanumeric_features/6576_prompt.pth,dump/alphanumeric_features/6576_seq.pth,dump/alphanumeric/6576_prompt.wav,dump/alphanumeric/6576_seq.wav
384,three eight four,wpvh6h,double you pee wee aeych six aeych,GroupedGenericPronunciation,p266,train,dump/alphanumeric_features/6577_prompt.pth,dump/alphanumeric_features/6577_seq.pth,dump/alphanumeric/6577_prompt.wav,dump/alphanumeric/6577_seq.wav
861,eight six one,wjet19,double you jay ee tee one nine,GroupedGenericPronunciation,p297,train,dump/alphanumeric_features/6578_prompt.pth,dump/alphanumeric_features/6578_seq.pth,dump/alphanumeric/6578_prompt.wav,dump/alphanumeric/6578_seq.wav
zh,z aeych,umzbjw,you am z bee jay double u,GroupedGenericPronunciation,p280,train,dump/alphanumeric_features/6579_prompt.pth,dump/alphanumeric_features/6579_seq.pth,dump/alphanumeric/6579_prompt.wav,dump/alphanumeric/6579_seq.wav
db,dee bee,q1h15u,cuu one aeych one five uu,GroupedGenericPronunciation,p294,train,dump/alphanumeric_features/6580_prompt.pth,dump/alphanumeric_features/6580_seq.pth,dump/alphanumeric/6580_prompt.wav,dump/alphanumeric/6580_seq.wav
oqby,o cuu bee wai,p645xe,pee six four five x ee,GroupedGenericPronunciation,p253,train,dump/alphanumeric_features/6582_prompt.pth,dump/alphanumeric_features/6582_seq.pth,dump/alphanumeric/6582_prompt.wav,dump/alphanumeric/6582_seq.wav
dfo,dee ef oo,kyoj8u,kay why o j eight you,GroupedGenericPronunciation,p299,train,dump/alphanumeric_features/6583_prompt.pth,dump/alphanumeric_features/6583_seq.pth,dump/alphanumeric/6583_prompt.wav,dump/alphanumeric/6583_seq.wav
7w,seven double u,yesz3p,wai ee s z three pee,GroupedGenericPronunciation,p316,train,dump/alphanumeric_features/6584_prompt.pth,dump/alphanumeric_features/6584_seq.pth,dump/alphanumeric/6584_prompt.wav,dump/alphanumeric/6584_seq.wav
8718,eight seven one eight,e34nhz,ee three four en haych zee,GroupedGenericPronunciation,p258,train,dump/alphanumeric_features/6585_prompt.pth,dump/alphanumeric_features/6585_seq.pth,dump/alphanumeric/6585_prompt.wav,dump/alphanumeric/6585_seq.wav
